shooter_id,gk_id,game_id,gametime,penalty,freekick,shooter_x,shooter_y,gk,gk_x,gk_y,shot_dist_goal,angle_to_goal,defender_infront,defender_around,goal,gk_name,gk_position_type,shooter_name,shooter_position_type
3367,13987,3851,46.85,FALSE,FALSE,-49.469,0.927,home_21,-51.411,-0.415,3.1695883013413577,98.58448232127824,1,6,TRUE,Mohammed Al-Owais,GK,Henry Martín,CF
3367,13987,3851,58.92,FALSE,FALSE,-45.066,0.224,home_21,-52.105,0.189,7.437373998932685,52.39187612954121,1,4,FALSE,Mohammed Al-Owais,GK,Henry Martín,CF
3367,13987,3851,69.5,FALSE,FALSE,-42.482,-6.915,home_21,-48.041,-2.426,12.172820092320432,28.549595439649217,1,1,FALSE,Mohammed Al-Owais,GK,Henry Martín,CF
3387,13987,3851,24.45,FALSE,FALSE,-38.467,5.105,home_21,-50.985,1.027,14.932719578161242,26.109749410470243,1,2,FALSE,Mohammed Al-Owais,GK,Orbelín Pineda,F
3387,13987,3851,26.4,FALSE,FALSE,-48.731,-5.134,home_21,-50.898,0.01,6.368933741216028,45.440892206044055,0,2,FALSE,Mohammed Al-Owais,GK,Orbelín Pineda,F
3387,13987,3851,40.62,FALSE,FALSE,-37.18,6.288,home_21,-51.011,0.575,16.560233814774477,23.26376172736196,2,3,FALSE,Mohammed Al-Owais,GK,Orbelín Pineda,F
3387,13987,3851,75.62,FALSE,FALSE,-35.698,-7.879,home_21,-50.317,-1.08,18.557635759977618,20.384254619669395,2,2,FALSE,Mohammed Al-Owais,GK,Orbelín Pineda,F
3414,144,3835,44.27,FALSE,TRUE,-27.286,-3.752,home_23,-51.304,0.316,25.491631960311995,16.17236222234864,2,1,FALSE,Emiliano Martínez,GK,Alexis Vega,CF
3414,144,3835,49.2,FALSE,FALSE,-27.576,-15.789,home_23,-49.854,-2.503,29.504208123588064,12.01668432601547,1,1,FALSE,Emiliano Martínez,GK,Alexis Vega,CF
3414,8042,3818,4.52,FALSE,FALSE,48.432,9.463,away_1,51.327,-2.907,10.300339460425562,17.80817947511075,0,1,FALSE,Wojciech Szczesny,GK,Alexis Vega,CF
3414,8042,3818,25.67,FALSE,FALSE,46.983,6.01,away_1,51.766,0.416,8.15827120167012,37.222179872575815,1,1,FALSE,Wojciech Szczesny,GK,Alexis Vega,CF
3414,8042,3818,43.92,FALSE,FALSE,42.158,15.266,away_1,51.679,2.003,18.43929825128928,13.049802801811737,2,1,FALSE,Wojciech Szczesny,GK,Alexis Vega,CF
3414,8042,3818,59.2,FALSE,FALSE,41.915,9.236,away_1,51.297,2.385,14.047986368159675,22.84144088634333,1,4,FALSE,Wojciech Szczesny,GK,Alexis Vega,CF
3414,8042,3818,65.88,FALSE,FALSE,36.704,-19.693,away_1,51.036,-1.745,25.24535333482184,10.498908875571347,1,0,FALSE,Wojciech Szczesny,GK,Alexis Vega,CF
3414,8042,3818,79.77,FALSE,FALSE,28.289,14.542,away_1,50.95,1.74,28.24256158707988,12.733848076465794,2,1,FALSE,Wojciech Szczesny,GK,Alexis Vega,CF
3414,13987,3851,2.6,FALSE,FALSE,-36.192,-0.654,home_21,-38.659,-0.946,16.321108418241696,25.26112271165692,1,2,FALSE,Mohammed Al-Owais,GK,Alexis Vega,CF
3414,13987,3851,44.08,FALSE,FALSE,-40.062,-10.076,home_21,-50.532,-2.225,16.007174016671403,20.552611833418894,2,2,FALSE,Mohammed Al-Owais,GK,Alexis Vega,CF
3455,8042,3818,46,FALSE,FALSE,27.062,-15.931,away_1,50.622,-1.286,30.01480642949409,11.849429786844384,2,1,FALSE,Wojciech Szczesny,GK,Luis Chávez,M
3455,13987,3851,1.13,FALSE,FALSE,-28.207,12.24,home_21,-50.62,0.521,27.202342711612175,13.752511781238534,1,1,FALSE,Mohammed Al-Owais,GK,Luis Chávez,M
3455,13987,3851,22.33,FALSE,FALSE,-27.707,0.806,home_21,-51.453,-0.543,24.806097738257822,16.777864839489634,2,1,FALSE,Mohammed Al-Owais,GK,Luis Chávez,M
3455,13987,3851,34.23,FALSE,FALSE,-24.268,-9.734,home_21,-50.008,-1.464,29.862963349272622,13.239015339458975,2,2,FALSE,Mohammed Al-Owais,GK,Luis Chávez,M
3455,13987,3851,40.47,FALSE,TRUE,-20.38,10.056,home_21,-50.986,-0.057,33.657354857445355,11.86172984169212,3,0,FALSE,Mohammed Al-Owais,GK,Luis Chávez,M
3455,13987,3851,44.23,FALSE,FALSE,-27.68,-8.952,home_21,-51.481,-1.573,26.38504697740749,14.90078302939279,3,0,FALSE,Mohammed Al-Owais,GK,Luis Chávez,M
3455,13987,3851,46.13,FALSE,FALSE,-23.488,0.448,home_21,-50.155,0.433,29.015458776314393,14.376957512731332,2,1,FALSE,Mohammed Al-Owais,GK,Luis Chávez,M
3455,13987,3851,51.92,FALSE,TRUE,-23.43,0.862,home_21,-51.345,0.089,29.082777446454458,14.339622218584415,3,0,TRUE,Mohammed Al-Owais,GK,Luis Chávez,M
3455,13987,3851,72.03,FALSE,TRUE,-24.355,-0.318,home_21,-51.41,0.013,28.146796425170663,14.816589254374971,3,0,FALSE,Mohammed Al-Owais,GK,Luis Chávez,M
3455,13987,3851,82.22,FALSE,FALSE,-35.648,5.173,home_21,-51.726,0.804,17.628097827048723,22.5309924573174,7,0,FALSE,Mohammed Al-Owais,GK,Luis Chávez,M
3460,13941,3814,14.3,FALSE,FALSE,-43.341,-8.206,home_1,-51.76,-4.508,12.29738659228049,25.93940143939994,1,1,FALSE,Saad Al-Sheeb,GK,Romario Ibarra,LW
3460,13941,3814,28.08,FALSE,FALSE,-31.148,4.605,home_1,-49.359,0.484,21.842937737401535,18.62643088888267,1,2,FALSE,Saad Al-Sheeb,GK,Romario Ibarra,LW
