shooter,goals_scored,GAX,rGAX,tstat,sd.V1,ci_lower,ci_upper,shooter_name,shooter_position_type
11994,0,-0.3723565340042114,-0.07250665696271105,-0.4347561563990792,0.16792281000347503,-0.4016353645695221,0.25662205064410004,Dries Mertens,F
12022,0,-0.6451184190809727,-0.1369125039064684,-0.6585730948430639,0.21105227349322012,-0.5505749599531798,0.276749952140243,Andreas Cornelius,F
12154,1,0.4207009878009558,0.1658594065262032,0.9825520593873786,0.16842695682596173,-0.16425742885268177,0.49597624190508816,Famara Diedhiou,F
12183,1,-0.3468373641371727,0.06039654736394565,0.2629187826426759,0.2249318925074132,-0.3804699619505842,0.5012630566784755,Haji Wright,F
12502,0,-0.32065117359161377,-0.05862878056941298,-0.42352483889186254,0.139766146326717,-0.33257042736977827,0.21531286623095233,Min Jae Kim,D
12514,1,0.45234905183315277,0.2955864348185944,1.6666643097923917,0.17708892628426146,-0.051507860698558006,0.6426807303357469,Piotr Zielinski,M
12561,1,0.48465580120682716,0.15078835708301833,0.7253457598178259,0.20853256210435628,-0.25793546464151995,0.5595121788075567,Sergej Milinković-Savić,M
12576,0,-0.3487798124551773,-0.07744635795729406,-0.40928425205345237,0.1900986787110855,-0.4500397682310216,0.2951470523164335,Nikola Milenkovic,D
12586,0,-0.05366239696741104,-0.002413795707986885,-0.025195894391303635,0.1042706945078203,-0.20678435694331468,0.2019567655273409,Sofyan Amrabat,M
12640,0,-0.1038828045129776,0.012387849914336127,0.12676141376688077,0.09099236747162147,-0.16595719033004197,0.1907328901587142,Martin Hongla,M
12643,0,-0.07047439366579056,-0.03277995710821367,-0.2770981099856817,0.11840334154811936,-0.2648505065425276,0.1992905923261003,Darko Lazović,M
12664,0,-0.06585603207349777,-0.024484645018266547,-0.222123424285274,0.11127812234323176,-0.24258976481100078,0.19362047477446767,Saša Lukić,M
12777,0,-0.3493747413158417,-0.10893036732363312,-0.6078978540020764,0.17861740238048615,-0.459020475989386,0.24115974134211973,Abdelhamid Sabiri,M
12820,0,-0.30554089695215225,-0.048612291717687085,-0.35249445528742085,0.1403780465372976,-0.3237532629307904,0.2265286794954162,Jakub Kiwior,M
12945,0,-0.8176832869648933,-0.2628952264625852,-1.3740865913192803,0.19221767750307478,-0.6396418743686118,0.1138514214434414,Bremer,D
13021,0,-0.0616677962243557,-0.024602358795666406,-0.2451627825341091,0.10176547705658051,-0.2240626938265642,0.1748579762352314,Abde Ezzalzouli,F
13032,0,-0.023031683638691902,-0.08762540209183671,-0.8968491477731394,0.09812863120340518,-0.2799575192505109,0.10470671506683744,Pathe Ciss,M
13044,0,-0.17231742292642593,-0.003953405803728895,-0.024237569364548073,0.15086035451686192,-0.29963970065677825,0.2917328890493205,Jawad El Yamiq,D
13049,0,-0.28399381041526794,-0.040425425956160214,-0.31128585624722055,0.1316062316777988,-0.2983736400446459,0.21752278813232545,Gonzalo Plata,F
13121,0,-0.4180848225951195,-0.089058965753968225,-0.4421812069106635,0.20225455433598713,-0.485477892252503,0.30735996074456656,Yunus Musah,M
13178,0,-0.12662434577941895,-0.03838573615142357,-0.39486898621490324,0.09793833558249623,-0.2303448738931162,0.15357340159026905,Nico Williams,F
13222,1,0.7459845989942551,0.14240330601977816,1.0768204237050802,0.1320107383891963,-0.1163377412230466,0.4011443532626029,Nahuel Molina,D
13228,0,-0.16031216084957123,-0.026710625156210605,-0.1603529028125908,0.16795387778394064,-0.3559002256127342,0.30247897530031304,Youssouf Sabaly,D
13563,0,-0.07434684783220291,-0.019723660957420012,-0.20576888606166044,0.09620265896255831,-0.2082808725240343,0.16883355060919428,Jewison Bennette,LW
13779,0,-0.20075486600399017,-0.08373806690476192,-0.8791281236751108,0.09487846956324988,-0.2696998672487317,0.10222373343920786,Juan Pablo Vargas,LCB
13780,1,0.5742228999733925,0.2790285686797683,1.7262871190460185,0.161454029956736,-0.0374213300354343,0.5954784673949709,Keysher Fuller,D
13785,0,-0.11304992437362671,-0.008443316753590314,-0.09242721307827137,0.09175492738992452,-0.18828297443784237,0.17139634093066175,Gerson Torres,M
13788,1,0.4898773580789566,0.2634249360071806,1.8017479572217068,0.14613651369694122,-0.0230026308388242,0.5498525028531853,Yeltsin Tejeda,M
13797,0,-0.43114835023880005,-0.11076972043272866,-0.8414918524851893,0.13078515565792287,-0.3671086255222575,0.1455691846568002,Shogo Taniguchi,D
13801,0,-0.11384439840912819,-0.054973943406399634,-0.3297087055127499,0.16809196175076446,-0.384434188437898,0.2744863016250987,Yuki Soma,F
13802,2,1.1328646540641785,0.404386743765432,2.321678137385254,0.1736243581539886,0.06408300178361431,0.7446904857472496,Daizen Maeda,F
13813,0,-0.1511230506002903,-0.10793056352040821,-0.5976111882176415,0.180790136922367,-0.46227923188824754,0.24641810484743115,Fran Karacic,D
13815,1,0.8591898679733276,0.29899386413202333,3.040243631999362,0.09833726366180223,0.10625282735489097,0.4917349009091557,Mathew Leckie,F
13817,0,-0.16674965620040894,-0.015213590650667665,-0.14643005649641253,0.10534216292826591,-0.22168422999006884,0.19125704868873353,Jamie Maclaren,F
13819,1,-0.11979642882943153,0.11339340149029992,0.48564227653878117,0.23015600906687625,-0.33771237628077755,0.5644991792613774,Mitchell Duke,F
13820,0,-0.10502786561846733,-0.02453754523872511,-0.1711199860275034,0.1463319649529153,-0.3113481965464391,0.2622731060689889,Aziz Behich,D
13821,0,-0.09800519794225693,-0.01693031496850592,-0.17769574839507093,0.09546239514669846,-0.2040366094560349,0.17017597951902308,Keanu Baccus,M
13823,1,0.7388049438595772,0.310603016250315,1.936526346369577,0.1604037471575484,-0.0037883281784798495,0.6249943606791099,Craig Goodwin,F
13825,0,-0.2605563998222351,-0.07023363285399344,-0.7212156852070569,0.09724338804453933,-0.2608306734212905,0.12036340771330366,Garang Kuol,F
13830,0,-0.3795832544565201,-0.05149951409297053,-0.35411602607469733,0.14627563795764306,-0.3381997644899509,0.23520073630400984,Pedro,F
13848,0,-0.46492230892181396,-0.0701230114846308,-0.441727390450436,0.1596364141864544,-0.3830103832900814,0.24276436032081983,Kamil Glik,D
13850,0,-0.3173946440219879,-0.044723895001259756,-0.3230347676606095,0.13936310592499773,-0.3178755826142553,0.22842779261173582,Grzegorz Krychowiak,M
13851,0,-0.04123307392001152,-0.03698825817964223,-0.35490019472965306,0.1048831903100945,-0.24255931118742746,0.16858279482814298,Michal Skoras,F
13857,0,-0.07160213589668274,0.014445203283572697,0.12257093286361172,0.11390263378530173,-0.2088039589356187,0.23769436550276407,Borna Barisic,D
13858,0,-0.08008717000484467,-0.0198200158408919,-0.1966591168348498,0.10131650835233182,-0.21840037221146227,0.17876034052967846,Josip Juranovic,D
13859,1,0.3921561948955059,0.19894873454459572,0.8051703760804425,0.24333985431020352,-0.2779973799034032,0.6758948489925947,Mislav Orsic,F
13860,1,-0.16454559937119484,0.13066249012597603,0.5930741584827661,0.2194607714655762,-0.2994806219465533,0.5608056021985053,Marko Livaja,F
13864,0,-0.17818466573953629,-0.02495401691295035,-0.17451238469388053,0.14549910849014494,-0.31013226955363443,0.26022423572773373,Yahia Attiat-Allah,D
13866,0,-0.33804309368133545,-0.08633244681090962,-0.6088500478469049,0.14172823443278915,-0.36411978629917635,0.1914548926773571,Selim Amallah,M
