shooter,number_of_shots,non_penalty_goals_scored,GAX,rGAX,tstat,sd.V1,ci_lower,ci_upper,shooter_name,shooter_position_type
4606,1,0,-0.14310835301876068,0.038277434853237584,0.355914397435926,0.10551657829870928,-0.16853505861223259,0.24508992831870777,Dayot Upamecano,D
4608,1,0,-0.15005089342594147,-0.011118346029226506,-0.10589479788246643,0.10657163746257582,-0.2199987554558751,0.19776206339742208,Niklas Süle,D
4611,3,1,0.6524221152067184,0.3117806722826909,1.7613730001696721,0.17703503881244165,-0.03520800378969474,0.6587693483550765,Alphonso Davies,D
4615,1,0,-0.04482752084732056,-0.001964986150793645,-0.020858029947930408,0.08715326321402934,-0.17278538205029118,0.16885540974870386,Josip Stanisic,D
4616,7,0,-0.5076361894607544,-0.018638317517006796,-0.08383883464715637,0.23742056593740057,-0.4839826267543119,0.44670599172029835,Joshua Kimmich,M
4618,4,0,-0.46045253053307533,-0.09153893062163582,-0.4711464685843668,0.19527308041711655,-0.4742741682391842,0.2911963069959126,Leon Goretzka,M
4621,12,0,-1.1560669727623463,-0.19315555718190963,-0.6529323431891064,0.2991683022159594,-0.7795254295251901,0.3932143151613708,Jamal Musiala,F
4622,1,0,-0.2084905207157135,-0.0448083054113127,-0.42048669192811816,0.10694851230093881,-0.25442738952115274,0.16481077869852737,Kingsley Coman,F
4623,14,1,0.012562638148665428,0.10251431778848581,0.31742830150199197,0.31243226088761783,-0.5098529135512451,0.7148815491282168,Serge Gnabry,F
4624,3,0,-0.6449496895074844,-0.2234087745647519,-1.2793924611988483,0.1753905696854524,-0.5671742911482386,0.12035674201873481,Thomas Müller,F
4625,8,1,-0.12655063346028328,0.0423874092422525,0.15030013490944247,0.27523586369077424,-0.4970748835916651,0.58184970207617,Robert Lewandowski,F
4626,4,1,0.44191600382328033,0.22521140947593873,1.1760290804629885,0.1905680791340208,-0.14830202562674202,0.5987248445786195,Eric Maxim Choupo-Moting,F
4661,3,1,0.6746731139719486,0.23111461551398335,1.1625292021407634,0.19904764838136593,-0.15901877531349387,0.6212480063414606,Manuel Akanji,D
4666,3,1,0.7611730080097914,0.2275265204705216,1.4195287268193648,0.1593581119550406,-0.08481537896135796,0.5398684199024012,Raphaël Guerreiro,D
4669,2,0,-0.10153132304549217,0.006657546512975572,0.04298084065416645,0.14579709168434876,-0.279104753188348,0.2924198462142991,Thomas Meunier,D
